school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,0.14285714285714285,U,GT3,A,2,2,other,other,home,mother,1,1,1,no,no,no,no,yes,yes,no,no,5,3,4,1,1,5,0.375,0.6842105263157895,0.5789473684210527,0.5789473684210527
GP,M,0.0,R,GT3,T,3,4,at_home,teacher,course,mother,4,2,0,no,yes,no,no,yes,yes,no,yes,5,3,3,1,1,5,0.0625,0.631578947368421,0.5789473684210527,0.5789473684210527
GP,F,0.0,U,GT3,T,4,4,services,at_home,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,1,1,5,0.125,0.6842105263157895,0.7368421052631579,0.7894736842105263
GP,M,0.2857142857142857,R,GT3,T,3,4,at_home,other,course,mother,3,2,0,no,no,no,no,yes,yes,no,no,5,4,5,2,4,5,0.0625,0.5263157894736842,0.47368421052631576,0.5263157894736842
GP,F,0.14285714285714285,R,GT3,T,1,1,at_home,other,course,mother,4,2,0,no,yes,no,no,yes,yes,no,no,5,1,3,1,1,3,0.0,0.7368421052631579,0.6842105263157895,0.6842105263157895
GP,M,0.42857142857142855,U,LE3,T,3,1,services,services,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,yes,3,3,4,4,5,4,0.0625,0.5789473684210527,0.5789473684210527,0.631578947368421
GP,F,0.42857142857142855,U,GT3,A,3,2,other,services,course,other,1,3,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,5,1,5,0.3125,0.631578947368421,0.5789473684210527,0.5789473684210527
GP,F,0.14285714285714285,R,GT3,T,1,1,other,services,reputation,mother,2,1,0,no,yes,no,yes,yes,yes,no,yes,3,3,3,1,2,1,0.25,0.631578947368421,0.5789473684210527,0.5789473684210527
GP,F,0.14285714285714285,U,GT3,A,3,3,other,other,course,other,2,1,0,no,yes,no,yes,no,yes,yes,yes,4,3,2,1,1,5,0.125,0.47368421052631576,0.47368421052631576,0.5263157894736842
GP,M,0.14285714285714285,U,LE3,T,1,1,services,other,course,mother,1,2,2,no,no,no,no,yes,yes,no,yes,4,4,4,1,3,5,0.0,0.5263157894736842,0.5263157894736842,0.5263157894736842
GP,F,0.0,U,GT3,T,4,4,teacher,teacher,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0.1875,0.6842105263157895,0.7368421052631579,0.7368421052631579
GP,F,0.0,R,GT3,T,1,1,other,other,course,mother,3,1,1,no,no,no,yes,yes,yes,yes,yes,5,5,5,1,1,1,0.0625,0.42105263157894735,0.47368421052631576,0.47368421052631576
GP,M,0.0,U,GT3,T,4,3,teacher,services,course,father,2,4,0,yes,yes,no,no,yes,yes,yes,no,2,2,2,1,1,3,0.1875,0.47368421052631576,0.5789473684210527,0.5789473684210527
GP,M,0.14285714285714285,U,GT3,T,4,4,services,services,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,5,0.0,0.7894736842105263,0.6842105263157895,0.6842105263157895
GP,M,0.14285714285714285,U,LE3,T,2,2,services,services,reputation,father,2,1,0,no,yes,no,yes,yes,yes,yes,no,2,3,3,2,2,2,0.125,0.631578947368421,0.5789473684210527,0.5789473684210527
GP,F,0.0,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,2,2,1,1,5,0.0625,0.6842105263157895,0.6842105263157895,0.6842105263157895
GP,F,0.14285714285714285,U,LE3,T,1,1,at_home,at_home,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,4,3,3,1,0.125,0.5263157894736842,0.5789473684210527,0.5789473684210527
GP,F,0.0,U,GT3,T,1,1,other,services,course,father,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,2,1,2,5,0.0,0.631578947368421,0.631578947368421,0.631578947368421
GP,F,0.0,U,LE3,A,2,1,at_home,other,home,mother,2,1,0,no,yes,no,yes,yes,no,yes,yes,4,4,2,1,1,5,0.0,0.5789473684210527,0.5263157894736842,0.5263157894736842
GP,F,0.0,U,GT3,T,3,2,health,services,home,father,1,2,1,no,yes,no,no,yes,yes,yes,no,3,3,2,1,1,3,0.0625,0.5789473684210527,0.5789473684210527,0.5789473684210527
GP,F,0.0,U,GT3,T,1,2,at_home,other,course,mother,1,2,0,no,yes,no,no,no,yes,yes,no,4,3,2,1,1,5,0.1875,0.6842105263157895,0.631578947368421,0.6842105263157895
GP,F,0.0,U,GT3,T,1,2,at_home,services,course,father,1,2,0,no,no,no,no,no,yes,no,yes,2,3,4,2,4,1,0.1875,0.5789473684210527,0.5789473684210527,0.5789473684210527
GP,M,0.0,U,LE3,A,2,1,services,other,course,mother,4,1,0,no,no,no,no,yes,yes,yes,no,4,5,5,2,5,5,0.0,0.631578947368421,0.5789473684210527,0.5789473684210527
GP,M,0.14285714285714285,U,LE3,T,2,1,at_home,other,course,mother,1,1,1,no,no,no,yes,yes,yes,no,yes,4,4,4,3,5,5,0.1875,0.47368421052631576,0.5263157894736842,0.5263157894736842
GP,F,0.0,R,GT3,T,3,3,services,services,reputation,other,2,3,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,1,2,3,3,0.0625,0.6842105263157895,0.6842105263157895,0.6842105263157895
GP,M,0.5714285714285714,U,GT3,T,3,2,services,at_home,home,mother,1,1,0,no,yes,no,no,yes,no,yes,yes,4,5,4,1,1,4,0.1875,0.5789473684210527,0.47368421052631576,0.5789473684210527
GP,F,0.2857142857142857,U,GT3,T,4,4,other,teacher,course,mother,1,1,0,yes,yes,no,no,yes,yes,no,yes,4,2,1,1,1,4,0.0,0.6842105263157895,0.6842105263157895,0.6842105263157895
GP,M,0.0,R,GT3,T,2,3,at_home,services,course,mother,1,2,0,yes,no,yes,yes,yes,yes,no,no,4,4,4,1,1,1,0.0,0.3684210526315789,0.42105263157894735,0.42105263157894735
GP,M,0.2857142857142857,R,LE3,T,1,2,other,other,reputation,mother,1,1,3,no,no,no,no,yes,yes,no,no,2,2,2,3,3,5,0.4375,0.47368421052631576,0.42105263157894735,0.5263157894736842
GP,F,0.42857142857142855,R,GT3,T,1,1,at_home,other,course,mother,3,1,3,no,yes,no,yes,no,yes,no,no,5,2,5,1,5,4,0.1875,0.5789473684210527,0.5263157894736842,0.5789473684210527
GP,M,0.14285714285714285,R,GT3,T,2,2,at_home,other,course,mother,3,1,0,no,no,no,no,no,yes,no,no,4,2,2,1,2,3,0.125,0.631578947368421,0.5263157894736842,0.5789473684210527
GP,M,0.14285714285714285,U,LE3,T,1,2,health,services,course,mother,2,1,2,no,no,no,no,no,yes,yes,no,4,4,5,3,5,5,0.0,0.47368421052631576,0.42105263157894735,0.5263157894736842
GP,M,0.2857142857142857,R,LE3,T,2,1,at_home,other,course,mother,2,1,1,no,no,yes,yes,yes,no,yes,yes,3,3,2,2,2,5,0.25,0.42105263157894735,0.42105263157894735,0.47368421052631576
GP,M,0.2857142857142857,R,GT3,T,3,2,other,other,course,mother,2,2,2,yes,yes,no,no,yes,yes,yes,yes,4,4,4,1,4,3,0.125,0.3684210526315789,0.3157894736842105,0.42105263157894735
GP,M,0.0,U,LE3,T,1,2,other,other,course,mother,2,1,0,no,no,no,yes,yes,yes,no,no,4,4,4,2,4,5,0.0625,0.42105263157894735,0.47368421052631576,0.5263157894736842
GP,M,0.14285714285714285,U,GT3,T,1,3,at_home,services,course,father,1,1,1,no,no,no,no,yes,no,yes,no,5,3,3,1,4,2,0.0625,0.47368421052631576,0.42105263157894735,0.42105263157894735
GP,M,0.2857142857142857,R,LE3,T,1,1,other,services,course,mother,4,2,0,no,no,no,yes,yes,no,no,yes,5,3,5,1,5,5,0.0,0.42105263157894735,0.42105263157894735,0.42105263157894735
GP,M,0.2857142857142857,U,GT3,T,3,2,services,services,course,mother,2,1,3,no,yes,no,yes,no,no,no,no,4,5,2,1,1,2,0.3125,0.42105263157894735,0.3684210526315789,0.42105263157894735
GP,M,0.14285714285714285,U,GT3,T,2,2,other,other,course,father,1,2,0,no,no,no,no,yes,no,yes,no,4,3,5,2,4,4,0.0,0.47368421052631576,0.5263157894736842,0.5789473684210527
GP,F,0.14285714285714285,U,GT3,T,4,2,health,services,home,father,1,2,0,no,no,no,no,yes,yes,yes,yes,4,2,3,1,1,3,0.0,0.8947368421052632,0.8947368421052632,0.9473684210526315
GP,F,0.14285714285714285,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,yes,no,no,no,yes,yes,no,5,1,5,1,1,4,0.0,0.631578947368421,0.631578947368421,0.6842105263157895
GP,F,0.14285714285714285,U,GT3,T,4,4,health,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,4,2,1,1,3,0.0,0.8421052631578947,0.8421052631578947,0.8947368421052632
GP,M,0.14285714285714285,U,GT3,T,3,4,other,other,course,father,3,1,1,no,yes,no,yes,no,yes,yes,no,3,4,5,2,4,2,0.125,0.47368421052631576,0.47368421052631576,0.5263157894736842
GP,M,0.14285714285714285,U,GT3,T,1,0,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,yes,4,3,2,1,1,3,0.0,0.8421052631578947,0.8947368421052632,0.9473684210526315
GP,M,0.2857142857142857,U,LE3,T,4,4,teacher,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,4,1,3,5,0.0,0.5789473684210527,0.47368421052631576,0.5263157894736842
GP,F,0.14285714285714285,U,GT3,T,1,3,at_home,services,home,mother,1,2,0,no,no,no,yes,no,yes,yes,yes,4,3,5,1,1,3,0.0,0.7368421052631579,0.6842105263157895,0.6842105263157895
GP,F,0.14285714285714285,U,LE3,T,3,3,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,5,1,1,4,0.0,0.7368421052631579,0.7368421052631579,0.7894736842105263
GP,M,0.2857142857142857,U,LE3,T,4,3,teacher,other,course,mother,2,2,0,no,no,no,yes,yes,yes,yes,no,4,4,4,4,4,4,0.0,0.5263157894736842,0.5789473684210527,0.5789473684210527
GP,F,0.14285714285714285,U,GT3,T,2,2,services,other,reputation,mother,2,2,0,no,no,no,yes,no,yes,yes,no,3,4,4,1,4,5,0.0,0.6842105263157895,0.631578947368421,0.7368421052631579
GP,M,0.2857142857142857,U,GT3,T,3,3,other,other,reputation,father,1,2,0,no,no,no,yes,no,yes,yes,no,4,3,4,1,4,4,0.125,0.5789473684210527,0.47368421052631576,0.5263157894736842
GP,M,0.14285714285714285,R,GT3,T,4,2,teacher,services,other,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,3,4,3,0.25,0.5263157894736842,0.47368421052631576,0.5789473684210527
GP,M,0.2857142857142857,U,GT3,T,4,3,other,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,5,2,3,1,1,2,0.125,0.5789473684210527,0.5789473684210527,0.6842105263157895
GP,M,0.14285714285714285,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,3,4,3,2,3,3,0.125,0.5789473684210527,0.5263157894736842,0.5789473684210527
GP,M,0.14285714285714285,U,GT3,T,3,3,services,other,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,2,3,1,2,3,0.0,0.5789473684210527,0.631578947368421,0.6842105263157895
GP,F,0.14285714285714285,U,GT3,T,3,2,other,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,1,2,2,1,2,1,0.25,0.7368421052631579,0.7894736842105263,0.8421052631578947
GP,M,0.2857142857142857,U,GT3,T,3,3,services,services,other,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,3,4,2,3,4,0.1875,0.5789473684210527,0.6842105263157895,0.7368421052631579
GP,M,0.14285714285714285,U,GT3,T,1,2,services,services,other,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,3,3,3,1,2,3,0.0,0.5263157894736842,0.47368421052631576,0.5789473684210527
GP,M,0.14285714285714285,U,LE3,T,2,1,other,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,2,3,1,2,5,0.0,0.6842105263157895,0.7368421052631579,0.8421052631578947
GP,F,0.2857142857142857,U,GT3,A,3,3,health,other,reputation,mother,1,2,0,no,yes,no,no,no,yes,yes,yes,3,3,3,1,3,3,0.3125,0.631578947368421,0.6842105263157895,0.7368421052631579
GP,M,0.2857142857142857,R,GT3,T,1,2,at_home,other,home,mother,1,2,0,no,no,no,no,yes,yes,no,no,3,1,3,1,5,3,0.1875,0.47368421052631576,0.47368421052631576,0.5263157894736842
GP,F,0.14285714285714285,U,GT3,T,2,3,services,services,course,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,3,3,1,1,2,0.1875,0.631578947368421,0.631578947368421,0.6842105263157895
GP,F,0.2857142857142857,U,GT3,T,1,1,at_home,services,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,3,3,1,1,3,0.0,0.631578947368421,0.5789473684210527,0.631578947368421
GP,M,0.14285714285714285,R,GT3,T,3,3,services,services,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,3,4,5,0.0,0.5789473684210527,0.5263157894736842,0.5263157894736842
GP,M,0.14285714285714285,U,GT3,T,2,3,other,other,home,father,2,1,0,no,no,no,no,yes,yes,yes,no,5,3,3,1,1,3,0.0,0.6842105263157895,0.631578947368421,0.631578947368421
GP,F,0.2857142857142857,U,LE3,T,2,4,services,services,course,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,3,2,1,1,5,0.25,0.7368421052631579,0.7894736842105263,0.8421052631578947
GP,M,0.2857142857142857,U,GT3,T,4,4,services,teacher,home,mother,1,1,0,no,no,no,no,yes,yes,yes,no,5,2,3,1,2,5,0.125,0.6842105263157895,0.6842105263157895,0.7368421052631579
GP,F,0.14285714285714285,U,LE3,T,4,4,teacher,teacher,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,5,2,1,2,3,0.0,0.5789473684210527,0.5263157894736842,0.5789473684210527
GP,F,0.14285714285714285,U,GT3,T,4,3,health,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,5,1,5,2,0.0625,0.7368421052631579,0.7368421052631579,0.7894736842105263
GP,F,0.14285714285714285,U,GT3,T,2,3,other,other,reputation,mother,1,2,0,yes,yes,no,yes,yes,yes,no,no,4,4,3,1,3,4,0.125,0.5789473684210527,0.631578947368421,0.631578947368421
GP,F,0.2857142857142857,U,GT3,T,1,1,other,other,course,mother,1,2,0,no,yes,no,no,no,yes,no,no,4,4,4,1,3,1,0.0,0.7368421052631579,0.7894736842105263,0.7894736842105263
GP,F,0.14285714285714285,R,GT3,T,2,2,services,services,reputation,mother,2,4,0,no,yes,no,yes,no,yes,yes,no,5,3,5,1,1,5,0.1875,0.6842105263157895,0.6842105263157895,0.6842105263157895
GP,F,0.2857142857142857,U,GT3,T,3,4,at_home,services,home,mother,1,3,1,no,yes,yes,no,yes,yes,yes,yes,4,4,3,3,4,5,0.4375,0.42105263157894735,0.47368421052631576,0.42105263157894735
GP,F,0.14285714285714285,U,GT3,A,3,1,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,3,2,2,4,0.0625,0.5789473684210527,0.5789473684210527,0.631578947368421
GP,F,0.14285714285714285,U,GT3,T,4,3,teacher,other,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,1,3,2,1,1,1,0.125,0.7368421052631579,0.7894736842105263,0.7894736842105263
GP,F,0.14285714285714285,U,GT3,T,1,1,at_home,other,home,mother,2,1,0,no,yes,no,no,yes,yes,no,no,4,3,2,1,4,5,0.0625,0.631578947368421,0.6842105263157895,0.6842105263157895
GP,F,0.2857142857142857,R,GT3,T,4,3,teacher,other,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,2,1,1,4,0.0,0.5789473684210527,0.631578947368421,0.631578947368421
GP,F,0.5714285714285714,U,GT3,T,3,3,other,other,reputation,other,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,2,3,0.125,0.631578947368421,0.631578947368421,0.631578947368421
GP,M,0.2857142857142857,U,LE3,T,4,4,services,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,5,3,5,4,5,3,0.46875,0.6842105263157895,0.631578947368421,0.631578947368421
GP,F,0.14285714285714285,U,GT3,A,2,2,other,other,reputation,mother,1,2,0,yes,yes,no,no,yes,yes,yes,no,3,3,4,1,1,4,0.0,0.6842105263157895,0.6842105263157895,0.6842105263157895
GP,M,0.42857142857142855,U,GT3,T,2,2,services,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,4,2,4,5,0.3125,0.631578947368421,0.5789473684210527,0.5789473684210527
GP,F,0.2857142857142857,R,LE3,T,4,4,services,other,other,mother,1,1,0,no,yes,no,no,yes,yes,no,no,5,2,1,1,2,3,0.1875,0.631578947368421,0.5789473684210527,0.5789473684210527
GP,F,0.2857142857142857,U,LE3,T,3,2,other,other,reputation,mother,2,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,3,1,0.0625,0.7368421052631579,0.8421052631578947,0.7894736842105263
GP,M,0.42857142857142855,U,LE3,T,3,3,services,health,home,father,1,2,0,no,yes,no,no,yes,yes,yes,no,3,2,4,2,4,4,0.3125,0.5263157894736842,0.5263157894736842,0.5263157894736842
GP,F,0.2857142857142857,U,GT3,T,2,3,at_home,other,home,father,2,1,0,no,yes,no,no,yes,yes,no,no,3,3,3,1,4,3,0.125,0.631578947368421,0.6842105263157895,0.6842105263157895
GP,F,0.2857142857142857,U,GT3,T,2,2,at_home,at_home,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,4,0.0,0.631578947368421,0.631578947368421,0.6842105263157895
GP,F,0.2857142857142857,R,GT3,T,2,1,at_home,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,5,1,2,5,0.0,0.5789473684210527,0.5263157894736842,0.5789473684210527
GP,F,0.2857142857142857,U,GT3,T,1,1,at_home,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,no,yes,4,3,4,1,1,5,0.375,0.631578947368421,0.631578947368421,0.631578947368421
GP,F,0.14285714285714285,U,GT3,T,2,3,services,teacher,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,2,3,1,1,1,3,0.0,0.6842105263157895,0.6842105263157895,0.7368421052631579
GP,M,0.42857142857142855,U,GT3,T,2,2,other,other,home,mother,2,2,3,no,yes,yes,no,yes,yes,yes,no,3,3,3,5,5,4,0.28125,0.5263157894736842,0.47368421052631576,0.5263157894736842
GP,F,0.14285714285714285,U,GT3,T,4,4,teacher,services,home,mother,1,3,0,no,yes,no,yes,no,yes,yes,no,5,3,2,1,1,5,0.125,0.7894736842105263,0.8421052631578947,0.8421052631578947
GP,F,0.42857142857142855,R,GT3,T,3,1,other,other,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,3,1,1,4,0.125,0.42105263157894735,0.42105263157894735,0.42105263157894735
GP,M,0.2857142857142857,U,LE3,T,2,3,services,services,reputation,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,3,3,0.0,0.5263157894736842,0.5789473684210527,0.5789473684210527
GP,M,0.42857142857142855,U,LE3,T,2,1,at_home,other,course,mother,4,2,0,yes,yes,no,yes,yes,yes,yes,yes,4,3,2,4,5,3,0.0625,0.47368421052631576,0.5263157894736842,0.5789473684210527
GP,F,0.2857142857142857,U,GT3,A,2,1,other,other,course,mother,2,3,0,no,no,no,yes,yes,yes,yes,yes,3,2,3,1,2,3,0.0,0.7894736842105263,0.7894736842105263,0.8421052631578947
GP,F,0.2857142857142857,U,LE3,T,4,3,health,other,reputation,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,3,2,3,1,2,3,0.0,0.7368421052631579,0.631578947368421,0.631578947368421
GP,M,0.2857142857142857,R,GT3,T,2,2,other,other,course,father,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,5,2,1,1,1,0.0,0.631578947368421,0.6842105263157895,0.6842105263157895
GP,M,0.2857142857142857,U,GT3,T,4,4,teacher,teacher,reputation,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,yes,4,5,5,1,3,2,0.0,0.6842105263157895,0.6842105263157895,0.6842105263157895
GP,M,0.14285714285714285,U,GT3,T,4,4,health,other,reputation,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,4,2,4,1,0.0,0.6842105263157895,0.6842105263157895,0.7368421052631579
GP,M,0.14285714285714285,U,LE3,T,1,1,other,other,home,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,3,4,2,1,1,5,0.0625,0.47368421052631576,0.47368421052631576,0.47368421052631576
GP,M,0.14285714285714285,U,GT3,T,3,2,at_home,other,reputation,mother,2,3,0,no,no,no,yes,yes,yes,yes,yes,5,3,3,1,3,2,0.0,0.631578947368421,0.631578947368421,0.631578947368421
GP,M,0.2857142857142857,U,LE3,T,2,2,other,other,home,father,1,2,0,no,no,no,yes,no,yes,yes,yes,4,4,2,5,5,4,0.0,0.8421052631578947,0.8421052631578947,0.8421052631578947
GP,F,0.14285714285714285,U,GT3,T,2,1,other,other,home,mother,1,1,0,no,no,no,no,yes,yes,yes,yes,4,5,2,1,1,5,0.125,0.47368421052631576,0.5263157894736842,0.5263157894736842
GP,F,0.14285714285714285,U,GT3,A,4,1,other,other,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,3,1,2,5,0.0,0.7368421052631579,0.6842105263157895,0.6842105263157895
GP,F,0.42857142857142855,U,GT3,T,3,3,other,other,course,mother,2,1,1,no,no,no,no,yes,no,yes,no,4,1,1,1,1,3,0.4375,0.42105263157894735,0.3684210526315789,0.3684210526315789
GP,M,0.2857142857142857,U,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,4,2,1,1,2,5,0.1875,0.5263157894736842,0.42105263157894735,0.47368421052631576
GP,F,0.2857142857142857,U,GT3,T,3,2,other,other,course,father,1,2,0,no,no,no,yes,yes,yes,no,no,5,4,2,1,1,3,0.125,0.7368421052631579,0.7368421052631579,0.7894736842105263
GP,F,0.2857142857142857,U,LE3,T,1,1,at_home,at_home,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,2,1,2,4,0.3125,0.5789473684210527,0.5263157894736842,0.5263157894736842
GP,F,0.14285714285714285,U,GT3,T,1,2,other,other,course,mother,1,1,0,no,no,no,no,yes,no,yes,no,5,3,5,1,2,5,0.125,0.631578947368421,0.5789473684210527,0.5789473684210527
GP,F,0.2857142857142857,R,GT3,T,2,1,at_home,services,course,mother,3,2,0,no,no,no,yes,yes,yes,no,no,2,1,1,1,1,3,0.0625,0.6842105263157895,0.6842105263157895,0.6842105263157895
GP,F,0.2857142857142857,R,LE3,A,1,4,other,other,course,other,4,1,1,no,yes,no,no,yes,yes,yes,no,5,5,4,1,1,5,0.4375,0.47368421052631576,0.47368421052631576,0.42105263157894735
GP,F,0.2857142857142857,U,LE3,A,2,2,other,other,home,mother,1,1,1,no,yes,no,no,no,no,yes,no,3,1,2,1,1,1,0.25,0.5789473684210527,0.47368421052631576,0.5263157894736842
GP,F,0.2857142857142857,R,LE3,T,1,1,at_home,other,course,mother,2,3,0,no,no,no,yes,yes,yes,yes,no,4,3,3,1,3,5,0.125,0.7894736842105263,0.7368421052631579,0.7894736842105263
GP,F,0.2857142857142857,U,LE3,A,4,2,teacher,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,4,3,2,1,1,4,0.125,0.7894736842105263,0.7368421052631579,0.7368421052631579
GP,M,0.2857142857142857,U,LE3,T,4,3,health,other,course,mother,2,2,0,no,no,no,yes,yes,yes,yes,yes,2,5,5,1,4,5,0.25,0.7894736842105263,0.7894736842105263,0.7894736842105263
GP,M,0.2857142857142857,R,LE3,A,4,4,teacher,other,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,3,3,3,2,3,4,0.0,0.631578947368421,0.631578947368421,0.631578947368421
GP,M,0.14285714285714285,U,LE3,T,4,3,teacher,other,course,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,4,5,1,1,3,0.21875,0.7368421052631579,0.7368421052631579,0.7894736842105263
GP,M,0.14285714285714285,U,GT3,T,4,4,services,services,course,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,5,3,2,1,2,5,0.125,0.7368421052631579,0.7894736842105263,0.7894736842105263
GP,F,0.2857142857142857,U,GT3,T,4,4,teacher,services,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,5,3,1,1,4,5,0.0625,0.5789473684210527,0.5789473684210527,0.631578947368421
GP,M,0.2857142857142857,R,GT3,T,1,1,other,other,home,father,2,3,0,no,no,no,no,no,yes,yes,yes,4,3,3,1,1,1,0.0625,0.6842105263157895,0.7368421052631579,0.7894736842105263
GP,F,0.2857142857142857,U,GT3,T,3,3,services,other,home,mother,2,3,0,no,yes,no,no,yes,yes,yes,yes,4,2,2,2,3,5,0.3125,0.5789473684210527,0.5789473684210527,0.5789473684210527
GP,F,0.2857142857142857,U,GT3,T,1,1,at_home,other,course,mother,1,2,0,yes,no,no,no,no,yes,no,yes,4,3,2,1,1,4,0.3125,0.5263157894736842,0.47368421052631576,0.5263157894736842
GP,F,0.42857142857142855,U,GT3,T,2,1,other,other,course,other,2,3,0,no,yes,no,no,no,yes,yes,yes,4,4,4,1,1,3,0.3125,0.631578947368421,0.5263157894736842,0.5789473684210527
GP,M,0.14285714285714285,U,GT3,T,2,1,other,other,course,mother,3,1,0,no,no,no,no,yes,yes,yes,no,4,3,3,1,1,4,0.21875,0.7894736842105263,0.8421052631578947,0.8421052631578947
GP,F,0.2857142857142857,U,GT3,T,1,1,other,services,course,father,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,5,0.125,0.5789473684210527,0.5263157894736842,0.5789473684210527
GP,M,0.2857142857142857,U,GT3,T,2,3,other,other,course,father,2,1,0,no,no,no,no,yes,yes,yes,no,5,2,2,1,1,2,0.0625,0.47368421052631576,0.631578947368421,0.6842105263157895
GP,M,0.42857142857142855,R,LE3,T,3,3,other,services,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,3,5,0.25,0.5263157894736842,0.47368421052631576,0.5263157894736842
GP,M,0.14285714285714285,U,GT3,T,0,2,other,other,other,mother,1,1,0,no,no,no,no,no,yes,yes,no,4,3,2,2,4,5,0.0,0.5789473684210527,0.631578947368421,0.5789473684210527
GP,M,0.42857142857142855,U,GT3,T,3,2,services,other,course,mother,2,1,0,no,no,no,no,yes,no,yes,no,4,4,5,2,4,5,0.25,0.3684210526315789,0.42105263157894735,0.3684210526315789
GP,M,0.14285714285714285,U,GT3,T,3,3,at_home,other,reputation,other,3,2,1,yes,yes,no,no,no,yes,yes,no,5,3,3,1,3,2,0.125,0.47368421052631576,0.5789473684210527,0.5263157894736842
GP,M,0.42857142857142855,U,GT3,T,2,1,services,services,other,mother,1,1,2,no,no,no,no,no,no,yes,no,3,2,5,2,5,5,0.125,0.3684210526315789,0.42105263157894735,0.3157894736842105
GP,M,0.14285714285714285,R,GT3,T,2,1,other,other,course,mother,2,1,0,no,no,no,yes,no,yes,no,no,3,3,2,1,3,3,0.0625,0.7368421052631579,0.6842105263157895,0.631578947368421
GP,M,0.2857142857142857,R,GT3,T,2,1,other,other,course,mother,1,1,0,no,no,no,no,no,yes,yes,no,4,4,2,2,4,5,0.0,0.631578947368421,0.631578947368421,0.6842105263157895
